wavelength[nm],species,ext_eff[meter ** 2 / kilogram]
355.0,DUST_1,415.5282328767124
500.0,DUST_1,545.2080616438359
532.0,DUST_1,480.38685616438374
550.0,DUST_1,461.22242465753436
1064.0,DUST_1,886.5125547945208
355.0,DUST_2,206.96067048517526
500.0,DUST_2,235.60010781671164
532.0,DUST_2,268.24620283018874
550.0,DUST_2,267.681873315364
1064.0,DUST_2,226.3748349056605
355.0,DUST_3,123.02106721698117
500.0,DUST_3,124.3524115566038
532.0,DUST_3,140.7564091981133
550.0,DUST_3,140.27247641509436
1064.0,DUST_3,128.78125000000006
355.0,DUST_4,65.86999056603776
500.0,DUST_4,67.55427672955977
532.0,DUST_4,67.57748427672958
550.0,DUST_4,69.92260062893084
1064.0,DUST_4,69.92497798742141
355.0,DUST_5,36.7654245283019
500.0,DUST_5,37.13476415094341
532.0,DUST_5,37.280586084905664
550.0,DUST_5,36.72221639150945
1064.0,DUST_5,38.0260383254717
355.0,SEAS_1,4521.233636363637
500.0,SEAS_1,3335.1313636363643
532.0,SEAS_1,3007.590681818182
550.0,SEAS_1,2870.4623863636366
1064.0,SEAS_1,644.8291022727274
355.0,SEAS_2,459.8938636363637
500.0,SEAS_2,460.70955194805197
532.0,SEAS_2,378.5410324675325
550.0,SEAS_2,359.0146558441559
1064.0,SEAS_2,340.67209090909097
355.0,SEAS_3,238.7423706293707
500.0,SEAS_3,246.49204195804197
532.0,SEAS_3,220.11579020979025
550.0,SEAS_3,203.22583216783218
1064.0,SEAS_3,196.899041958042
355.0,SEAS_4,97.01223181818185
500.0,SEAS_4,99.15399545454548
532.0,SEAS_4,93.08592727272729
550.0,SEAS_4,98.91259545454547
1064.0,SEAS_4,102.8825681818182
